year,month,date,day,time,lineup,canceled,postponed,soldOut
2019,August,21,Wed,4:00pm,The Last Ten Seconds Of Life | No Zodiac | Kaonashi | VCTMS | The Emblem Faction | Drowning Life,False,False,False

2019,August,22,Thu,5:00pm,Alone I Walk | When The Sun Sets | Look at Me | The Eleanors | Kickstart The Sun,False,False,False

2019,August,22,Thu,9:30pm,Matthew Curry,False,False,False

2019,August,23,Fri,5:30pm,Summerville Showcase,False,False,False

2019,August,23,Fri,9:30pm,Slime City,False,False,False

2019,August,24,Sat,5:00pm,Us vs Them,False,False,False

2019,August,24,Sat,9:30pm,Gutter Demons | Tough Ghost,False,False,False

