year,month,date,day,time,lineup,canceled,postponed,soldOut
2020,March,7,Sat,1:00pm,Private Event,False,False,False

2020,March,7,Sat,7:30pm,Chicago Farmer  The Fieldnotes | Dan Tedesco,False,False,False

2020,March,8,Sun,6:00pm,Vended SOLD OUT | Fault Mine | Awakening Force,False,False,True

2020,March,10,Tue,8:30pm,Church GIrls | Cold Winds | The Sleepover,False,False,False

2020,March,11,Wed,5:00pm,Beneath The Massacre | And Hell Followed With | The Emblem Faction | Abstract Forms | Chapter,False,False,False

2020,March,12,Thu,5:00pm,Hed P.E. | Freak Twent4 | Trusdefy | Awakening Force | Crisis Child,False,False,False

2020,March,12,Thu,9:30pm,Radkey | No Good Deed | The Paddlers,False,False,False

2020,March,13,Fri,6:00pm,Michigan Rattlers postponed | The Cerny Brothers,False,True,False

2020,March,13,Fri,9:30pm,Conscious Kickback,False,False,False

2020,March,14,Sat,5:00pm,Spite canceled but the other bands are playing | Varials | I Am | Drowning Life | Dealer,True,False,False

2020,March,14,Sat,9:30pm,Colo on the Rocks 2.0,False,False,False

2020,March,15,Sun,5:30pm,Remorsefully Numb canceled. | On Hiatus | Antonym to Xs and Os | Seth Cloe,True,False,False

2020,March,17,Tue,5:00pm,Microwave canceled | A Will Away | Bad Luck | Weakened Friends | Eugene Levy,True,False,False

2020,March,19,Thu,8:30pm,Origami Animals postponed | Creek Dwellers,False,True,False

2020,March,20,Fri,5:00pm,Adam Whitehead postponed | Midwest Moonshiners | Heaton | Maddy Anna Braden | Nick Ryan,False,True,False

2020,March,20,Fri,9:30pm,Frequency canceled,True,False,False

2020,March,21,Sat,6:00pm,Porter Union postponed | Kayla Ray,False,True,False

2020,March,22,Sun,5:00pm,Art For Access Des Moines postponed,False,True,False

2020,March,24,Tue,5:30pm,Careful Gaze canceled | The August Guns | Kickstart The Sun | On Hiatus,True,False,False

2020,March,25,Wed,7:30pm,Thelma and the Sleaze postponed | Karen Meat,False,True,False

2020,March,26,Thu,7:00pm,Alec Lang postponed,False,True,False

2020,March,26,Thu,9:30pm,Brian Knobbs canceled,True,False,False

2020,March,27,Fri,4:30pm,Hotel Books postponed | Comrades | State Faults | Cvlture | Manhattan Blockade | Dead Silent,False,True,False

2020,March,27,Fri,9:30pm,Church Fire canceled | Nonnie Parry | Nostromo | American Devil Sound,True,False,False

2020,March,28,Sat,6:00pm,Lyric XPress Music Showcase postponed,False,True,False

2020,March,28,Sat,9:30pm,The Return Of Hip Hop Episode 2 postponed,False,True,False

2020,March,29,Sun,6:00pm,Matt Wilson  his Orchestra postponed,False,True,False

2020,March,30,Mon,7:30pm,Today Is The Day postponed | Child Bite | Nostromo | Skin of Earth,False,True,False

2020,March,31,Tue,6:00pm,JM Stevens canceled | Kevin Lindgren,True,False,False

2020,February,1,Sat,3:00pm,Comments Section  Live,False,False,False

2020,February,1,Sat,6:00pm,Soultru | Bleujack | Scotty Pee,False,False,False

2020,February,2,Sun,8:00pm,Canvassers Only Party with Chapo Trap House SOLD OUT,False,False,True

2020,February,5,Wed,6:00pm,Justin Stone | Ryan Oakes | A. Barb,False,False,False

2020,February,6,Thu,6:00pm,Annie Kemble ft. The MFK Trio | The Paddlers | Uncle,False,False,False

2020,February,7,Fri,8:00pm,The Blue Stones | JJ Wilde,False,False,False

2020,February,8,Sat,5:00pm,Americature | Fault Mine | The Pawnshop Kids | The Whiskee Shakes,False,False,False

2020,February,8,Sat,9:30pm,Lovers Rock canceled,True,False,False

2020,February,11,Tue,5:00pm,Riff Raff | Smokebreak | Lolo Savage | Jordi Flash | Kill PhantomB | JayVs,False,False,False

2020,February,13,Thu,7:30pm,Plack Blague | Traffic Death | Dryad | voiddweller,False,False,False

2020,February,14,Fri,5:30pm,Cupids Lounge A Valentines Musical Variety Show,False,False,False

2020,February,14,Fri,9:30pm,Love Shack,False,False,False

2020,February,15,Sat,7:30pm,Left Lane Cruiser | Tough Ghost | The 14o8,False,False,False

2020,February,16,Sun,5:00pm,Currents | Greyhaven | The Emblem Faction,False,False,False

2020,February,17,Mon,6:00pm,The Toasters | The Eleanors,False,False,False

2020,February,18,Tue,6:00pm,Brother Moses | Stay Outside | Fall From Space,False,False,False

2020,February,19,Wed,6:30pm,My One and Only | Ellie Mae,False,False,False

2020,February,20,Thu,6:00pm,Star Parks | Zap Tura | Ananya,False,False,False

2020,February,21,Fri,7:00pm,Michael Angelo Batio,False,False,False

2020,February,22,Sat,6:00pm,Creative Youth Drag Fundraiser,False,False,False

2020,February,22,Sat,9:30pm,IronStar | Steady Flow,False,False,False

2020,February,23,Sun,5:30pm,Ceremony | Annalibera | Quick Piss,False,False,False

2020,February,25,Tue,7:30pm,Reina Del Cid,False,False,False

2020,February,27,Thu,5:00pm,Cities Never Sleep | The August Guns | Street Thieves | Main State | Wings of Icarus,False,False,False

2020,February,28,Fri,6:30pm,Hacksaw Jim Duggan,False,False,False

2020,February,28,Fri,9:30pm,Episode 1 The Return of HipHop,False,False,False

2020,February,29,Sat,5:00pm,Caskey | Snake Lucci | Kill PhantomB | NewMoney | Sinister Karnie,False,False,False

2020,February,29,Sat,9:30pm,Orphans of Doom | Glass Ox | Shake Them Bones,False,False,False

2020,January,3,Fri,5:30pm,The HipHop Showcase,False,False,False

2020,January,3,Fri,9:30pm,The Eleanors | Ruby Rocket and The Locomotive Wonderkid | Look at Me,False,False,False

2020,January,4,Sat,5:30pm,Courtney Krause | Feeling Old | Nalani Proctor,False,False,False

2020,January,5,Sun,6:00pm,Glitter Density | Odd Pets | Derek Muse Lambert,False,False,False

2020,January,6,Mon,6:00pm,Riverrats | Adam in the Parking Lot | Lou Ramsey,False,False,False

2020,January,8,Wed,6:00pm,The Bad Man,False,False,False

2020,January,9,Thu,6:00pm,The Way Down Wanderers | Ryan Stier of Extravision,False,False,False

2020,January,10,Fri,5:00pm,INTL New Years Party canceled,True,False,False

2020,January,10,Fri,9:30pm,Frequency,False,False,False

2020,January,11,Sat,7:30pm,Jason Ringenberg,False,False,False

2020,January,12,Sun,6:30pm,Fall From Space,False,False,False

2020,January,14,Tue,6:00pm,Dead Hour Noise | Sarin | Street Thieves,False,False,False

2020,January,15,Wed,6:30pm,Hugh Lee | Doc Savior,False,False,False

2020,January,15,Wed,9:30pm,Good Morning Bedlam,False,False,False

2020,January,16,Thu,6:00pm,Zoofunkyou | Pale Blue Erf,False,False,False

2020,January,16,Thu,9:30pm,Good Morning Midnight | semideadly | Zap Tura,False,False,False

2020,January,17,Fri,9:30pm,Grind For Bernie is postponed | Glass Ox | Greg Wheeler and The Polygamist Mall Cops | Victimized Youth | Quick Piss,False,True,False

2020,January,18,Sat,5:00pm,March In Arms canceled | Tyrant Souls | Misgivings Fall,True,False,False

2020,January,18,Sat,9:30pm,The Vahnevants record release party | Bob Bucko Jr | DJ DJ Tanner | Heavy Gratitude,False,False,False

2020,January,20,Mon,6:00pm,Delvon Lamarr Organ Trio,False,False,False

2020,January,21,Tue,6:00pm,Julian Davis  The Situation canceled,True,False,False

2020,January,22,Wed,7:30pm,The Comancheros | Anthony Koester | Robert Deitch,False,False,False

2020,January,23,Thu,6:00pm,Zaq Baker | Redcoat | McKenna Alise  the Great Galvanic Divide,False,False,False

2020,January,24,Fri,5:00pm,Method | Devils Den | Chain of Command | Victimized Youth,False,False,False

2020,January,24,Fri,9:30pm,Grind For Bernie | Glass Ox | Greg Wheeler and The Polygamist Mall Cops | Victimized Youth | Quick Piss,False,False,False

2020,January,25,Sat,9:30pm,The Dolores Sparkles Spectacular,False,False,False

2020,January,31,Fri,7:30pm,Mac Powell and the Family Reunion,False,False,False

2019,December,2,Mon,5:00pm,Nowhere Fast | Hookshot | On Hiatus | Seth Cloe,False,False,False

2019,December,4,Wed,7:30pm,Exmag canceled | Nik Sorak,True,False,False

2019,December,5,Thu,6:00pm,Lot Lizard | Dendrons | Nowns,False,False,False

2019,December,6,Fri,6:00pm,Shake the Baby Til the Love Comes Out | Gleaner | Nostromo,False,False,False

2019,December,6,Fri,9:30pm,Conscious Kickback,False,False,False

2019,December,7,Sat,6:00pm,Rittz  Dizzy Wright  Winners Circle Tour | Ekoh | Whitney Peyton,False,False,False

2019,December,8,Sun,3:00pm,Private Event,False,False,False

2019,December,11,Wed,5:00pm,Madball | Kharma | Brotherhood of the Mudkat | Mindless Violence,False,False,False

2019,December,11,Wed,9:30pm,Nooky Jones | Chase Schweitzer,False,False,False

2019,December,12,Thu,5:00pm,Private Event,False,False,False

2019,December,13,Fri,5:00pm,Private Event,False,False,False

2019,December,13,Fri,10:30pm,The Saints Bday Bash | Nu Depths | GFG,False,False,False

2019,December,14,Sat,5:30pm,Karen Meat and The Heat record release party | Ramona and the Sometimes | Sugar Shield | Sinner Frenz,False,False,False

2019,December,14,Sat,9:30pm,Eliza Day | Quade | Victimized Youth,False,False,False

2019,December,15,Sun,12:00pm,Brilliant Crafts and Wares Fair,False,False,False

2019,December,15,Sun,7:30pm,Kitchen Dwellers,False,False,False

2019,December,19,Thu,6:00pm,Democratic Debate Watch Party w Bernie 2020 Campaign,False,False,False

2019,December,20,Fri,6:00pm,The 2nd Bearwolf Holiday Variety Show,False,False,False

2019,December,20,Fri,9:30pm,Hail Santa,False,False,False

2019,December,21,Sat,6:00pm,The Han Solo Project | Jordan Mayland | Erik Timmons,False,False,False

2019,December,21,Sat,9:30pm,The Christmas PopOff,False,False,False

2019,December,26,Thu,8:00pm,Uncle Willys Holiday Karaoke,False,False,False

